Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
2022-11-07,N,Pacific,WCC,Stanford,A,"L, 88-78",104.2,106.4,75.4,103.4,50,15.9,23.1,20.9,116.7,68.8,21.2,21.4,70.8,44,-8
2022-11-07,N,Alcorn St.,SWAC,Mississippi,A,"L, 73-58",93.8,101.9,67.3,86.2,43,26.8,35.1,19.3,108.5,44.9,23.8,51.2,47.5,27.8,-4
2022-11-07,N,NJIT,AE,Saint Peter's,A,"L, 73-59",80.6,123.2,66.9,88.2,38.9,19.4,30.6,50,109.1,49.2,13.4,32.4,32.2,0.8,-17
2022-11-07,N,UCF,Amer,UNC Asheville,H,"L, 98-95",111.9,118.4,68.2,111.5,51.9,16.4,36.2,18.5,115,59.8,22.3,35.3,39.4,34.5,-1
2022-11-07,N,Kansas,B12,Nebraska Omaha,H,"W, 89-64",114.1,100.5,70.1,127,58.7,12.8,44.4,21.7,91.3,43,18.6,22.9,33.3,81.1,11
2022-11-07,N,Colorado,P12,UC Riverside,H,"W, 82-66",105.5,84.1,77.1,106.4,51.6,16.9,29.3,40.6,85.7,43.1,19.5,32.6,13.9,93.2,12
2022-11-07,N,South Florida,Amer,Southeast Missouri S,H,"L, 64-61",84.6,95.5,69.7,87.5,50,22.9,22.2,36.5,91.8,44.6,21.5,26.8,39.3,19.9,0
2022-11-07,N,Villanova,BE,La Salle,H,"W, 81-68",128.5,108,62.4,129.9,68.3,14.4,20.8,21.2,109,49.1,14.4,28.6,36.4,88.1,13
2022-11-07,N,Texas St.,SB,Washington St.,A,"L, 83-61",106.9,114,64.9,94,49,17,24.2,52,127.9,60.9,18.5,45.2,43.6,32.3,-7
2022-11-07,N,Dayton,A10,Lindenwood,H,"W, 73-46",97.9,78.6,66.9,109,52,13.4,21.9,58.8,68.7,36.4,16.4,14.6,25.5,92.5,13
2022-11-07,N,Loyola MD,Pat,DePaul,A,"L, 72-66",94.6,106.1,67.8,97.3,48.3,20.6,35,28.3,106.2,50,19.2,34.3,31,21.2,-9
2022-11-07,N,VCU,A10,Manhattan,H,"W, 73-56",95.4,83,73.2,99.8,50,19.1,27.5,61.1,76.5,57.3,36.9,4.3,34.1,83.3,12
2022-11-07,N,St. Thomas,Sum,Creighton,A,"L, 72-60",102.6,96,66.8,89.9,49.1,21,18.2,6.9,107.8,45.5,7.5,29.3,21.2,68.1,-6
2022-11-07,N,Nebraska Omaha,Sum,Kansas,A,"L, 89-64",108,112.7,70.1,91.3,43,18.6,22.9,33.3,127,58.7,12.8,44.4,21.7,37.8,-11
2022-11-07,N,Utah,P12,LIU Brooklyn,H,"W, 89-48",98.3,86.5,75,118.6,46.5,9.3,37.8,37.5,64,34.7,22.7,14.3,18.6,81.4,14
2022-11-07,N,Texas,B12,UTEP,H,"W, 72-57",112.3,92.3,65.9,109.2,59.5,22.7,20,69,86.4,45.2,28.8,35.3,28.8,90.5,9
2022-11-07,N,Sam Houston St.,WAC,Oklahoma,A,"W, 52-51",80.1,71.7,68.9,75.5,37.5,17.4,23.9,14.1,74,43,30.5,16.1,46.5,78.2,-6
2022-11-07,N,Wagner,NEC,Temple,A,"W, 76-73",109.6,100,63.4,106.5,47.7,11.2,31.6,34.4,102.3,43.5,18.2,26.5,55.6,74.2,-3
